FTIR,Vehicle Registartion date ,Model,Subject (English),Mileage - Using Time,FTIR Report Date,Date of Incident
FTIR-10629,16-May-23,ALTO,WARNING LIGHT GLOWING BLINKI ABS LIGHT HAND BRAKE LIGHT GLOWING CLUSTER METER ACTUATOR ASSYABS DEFFICTIVE,17925,3/11/2025,3/11/2025
FTIR-10642,44930,XL6,engine not starting,23516,4/1/2025,3/31/2025
FTIR-10659,44580,XL6,vehicle not starting if kept idle for 34days on diagnosing found current leak fro mgu,10350,3/8/2025,2/21/2025
FTIR-10666,22-May-23,ALTO,vehicle not starting,21679,4/27/2025,4/27/2025
FTIR-10678,21-Dec-18,CIAZ,Vehicle not starting after parking for three days due to the defect of MGU unit,50830,3/7/2025,3/7/2025
FTIR-10710,26-Aug-24,ERTIGA,ENGINE NOT STARTING SOMETIME,21985,3/18/2025,3/17/2025
FTIR-10735,30-May-24,GRAND,APQ415-CONTROLLER ASSY CAMERA FAILURE-REAR VIEW CAMERA NOT WORKING-MA3TYKJ1S00101070-24L1356,2667,2/22/2025,11/29/2024
FTIR-10740,18-Feb-21,VITARA,Reverse alarm not working is due to defect of controller assy park SNSR,35719,4/1/2025,4/1/2025
FTIR-10744,28-Feb-25,SUPER CARRY ,KEY WARNING LIGHT GLOWING CONTIUOUSLY DUE TO STEERING LOCK SET DEFECTIVE,8,3/1/2025,3/1/2025
FTIR-10771,23-Dec-23,XL6,MGU ASSY WAS NOT WORKING PROPERLY,20280,3/18/2025,3/18/2025
FTIR-10776,26-Jun-24,FRONX,CAMERA NOT WORKING,6970,2/1/2025,1/31/2025
FTIR-10797,16-Jul-21,S-PRESSO,VEHICLE NOT STARTING AFTER SOME DAYS OF PARKING PROBLEM WITH MGU ASSY,58825,2/19/2025,2/19/2025
FTIR-10808,25-Jan-21,SWIFT,ABS MODULE COMPLAINTWARNING LIGHT BLINKINGPOWER STEERING NOT WORKING,27960,2/15/2025,2/15/2025
FTIR-10810,28-Oct-22,ERTIGA,ENGINE NOT STARTING ISSUE,52560,3/4/2025,3/4/2025
FTIR-10832,44431,S-PRESSO,BATTERY GETTING DISCHARGED AND ENGINE NOT STARTING DUE TO DEFECTIVE MGU ASSY,9738,2/19/2025,2/19/2025
FTIR-10847,6-Jan-24,ERTIGA,ENGINE NOT STARTING PROBLEM AND A OFF LIGHT CONTINOUSLY BLINKING,20744,2/12/2025,2/12/2025
FTIR-10852,27-Jun-24,SWIFT,VEHICLE NOT STARTING DUE TO TATA GREEN BATTERY DEFECT,3873,3/20/2025,3/19/2025
FTIR-10854,30-Jan-19,CIAZ,THE VEHICLE IS NOT STARTING IF UNUSED FOR 3 TO 4 DAYS DUE TO MGU ASSY,18614,3/8/2025,3/8/2025
FTIR-10868,44767,BREZZA,wireless charger due to wireless charger not working,32338,3/20/2025,3/20/2025
FTIR-10870,30-Nov-23,BREZZA,RADIATOR FAN NOT WORKING THERMOSTAT VALVE BAND ECM NG ECM NEED TO BE CHANGE,20987,4/25/2025,4/25/2025
FTIR-10872,7-Feb-20,ERTIGA,Vehicle not starting and battery getting discharged due to defective MGU assy,37389,4/10/2025,4/10/2025
FTIR-10914,13-Jan-23,GRAND,CLARION STEREO NOT WORKINGTOUCH NOT WORKING BLUETOOTH FUNCTIONSDEFECT OCCURES,11393,2/6/2025,2/6/2025
FTIR-10922,28-Aug-24,BREZZA,ENGINE NOT STARTING DUE TO BATTERY DEFECTIVE,21949,4/14/2025,4/14/2025
FTIR-10930,29-Aug-23,BREZZA,engine not starting and defect in battery,18899,2/5/2025,2/4/2025
FTIR-10944,30-Jan-24,CELERIO,steering hard and ABS MIL handbrake and power steering warning light glowing continuouslydue to defrctive ABS actuator unit,9971,2/20/2025,2/20/2025
FTIR-10953,27-Oct-23,SWIFT,DOORS OPENING WARNING LIGHT GLOWING IN CLUSTER METER DUE TO CONTROLLER ASSY BODY ELEC NOT WORKING PROPERLY,52988,3/19/2025,3/19/2025
FTIR-10956,17-Aug-22,BALENO,360 degree camera not working need to replace Controller Assy Camera,28163,2/4/2025,2/4/2025
FTIR-10967,29-Jun-21,ERTIGA,MGU proper not working,7576,4/9/2025,4/9/2025
FTIR-10969,30-Oct-24,BREZZA,SUZUKI CONNECT NOT WORKING DUE TO DCM DEFECTIVE,1577,2/5/2025,2/5/2025
FTIR-10978,29-Mar-22,BALENO,ADM LIGHT GLOWING ON CLUSTER METER AND REAR PARKING CAMERA NOT WORKING WITH PARKING LIGHT ALSO NOT WORK,94150,3/7/2025,3/7/2025
FTIR-10987,12-Oct-20,XL6,ENGINE NOT STARTING WHEN VEHICLE PARKED FOR 4 OR MORE DAYS MGU ASSY TO BE DEFECTIVE,30710,4/9/2025,4/9/2025
FTIR-11013,28-Feb-22,S-PRESSO,ENGINE NOT STARTING,6793,4/8/2025,4/8/2025
FTIR-11054,6-Jul-21,VITARA,In running condition while in reverse alarm is not working and all time warning light is glowing due to CONTROLLER ASSY PARK SNSR is defective,47650,4/14/2025,4/14/2025
FTIR-11063,26-Feb-19,ERTIGA,ENGINE NOT STARTING AND BATTERY GETTING DISCHARGE DUE TO DIFECTIVE OF MGU ASSY,60304,3/8/2025,3/8/2025
FTIR-11069,25-Aug-22,BALENO,REVERSE AND 360 DEGREE CAMERA NOT WORKING DUE TO DEFECTIVE CONTROLLER ASSY CAMERA,37797,3/3/2025,3/3/2025
FTIR-11072,29-Mar-21,XL6,vehicle not starting batery geting discharged MGUnit need to replace,13661,2/27/2025,2/27/2025
FTIR-11076,22-Jan-21,ERTIGA,Battery Getting Discharged After 10 Day's Vehicle Stope,1352,4/5/2025,4/5/2025
FTIR-11079,13-Aug-19,ERTIGA,ENGINE NOT STARTING AND BATTERY GETTING DISCHARGED DUE TO THE DEFECT OF MGU ASSY,18269,2/24/2025,2/24/2025
FTIR-11095,9-Feb-23,GRAND,THE VEHICLE REPORTED FOR A OFF SYSTEM NOT WORKING A OFF WARNING LIGHT GLOWING CONTINUOSALY ON CLUSTER METER WE HAVE CONNECTED SDT FOUND DTCP1B9000 P1BA300 P1B0000 IN CURRENT DIAGNOSED FOUND LIION BATTERY IS DEFECTIVEWE R,19550,2/13/2025,2/13/2025
FTIR-11103,31-Jul-24,BALENO,ENGINE NOT STARTING DUE TO BATTERY GETTING DISCHARGED,3638,3/25/2025,3/25/2025
FTIR-11104,16-Dec-22,BALENO,infotainment system touch not working programs automatically changed,54422,3/17/2025,3/17/2025
FTIR-11107,18-Feb-21,VITARA,INDICATOR NOT WORKING DUE TO THE DEFECT OF CONTROLLER ASSY BODY ELEC,12565,4/26/2025,4/24/2025
FTIR-11137,16-Jun-22,BALENO,360 VIEW CAMERA NOT WORKING,85433,4/26/2025,4/26/2025
FTIR-11171,9-Nov-23,SWIFT,We checked and confirmed the radiator fan is still running Checked with SDT and found DTC codes P0116 and C1091 are related to the ECM and radiator fan so needs to be replaced,63402,2/12/2025,2/10/2025
FTIR-11197,44524,VITARA,Customer complaint turn indicators switch on time front both side headlight indicator not working and sdt connectedNo dtc code found and BCM assy is deffective,19760,2/18/2025,1/20/2025
FTIR-11198,25-Aug-23,ERTIGA,Battery getting discharged and vehicle not starting problem and ASTOP light continuously blinking on cluster meter due to lithium ion battery for water entry lithium ion battery found that internal circuit shorted lihtium i,43061,4/1/2025,4/1/2025
FTIR-11202,27-Jan-22,S-PRESSO,Vehicle not starting sub battery getting drained due to MGU internal failure,25552,4/7/2025,4/7/2025
FTIR-11203,13-Jul-23,XL6,engine not starting due battery getting discharged,21916,4/26/2025,4/26/2025
FTIR-11214,22-Jan-20,BALENO,reverse camera not working intermitenllyblue screen showing in stereo,55321,3/1/2025,2/28/2025
FTIR-11228,29-Nov-23,ERTIGA,vehicle not starting and clster light not working,12650,3/6/2025,3/6/2025
FTIR-11247,8-Jul-20,ALTO,reverse alarm not working due to defective controller assy park,70666,2/25/2025,2/25/2025
FTIR-11256,30-Apr-19,ERTIGA,The AUTO STOP warning lamp Glowing and Battery getting dischargedd condition due to defective of motor generator assy MGU Internal faulty condition,16063,2/24/2025,2/24/2025
FTIR-11259,25-Aug-23,GRAND,360 degree Camera not working due to Camera control module defective,18488,4/24/2025,4/24/2025
FTIR-11275,17-Oct-23,ERTIGA,A OFF light glowing and engine not starting we have check and found pack assy battery defective,21407,4/11/2025,4/11/2025
FTIR-11278,14-May-21,SWIFT,CUSTOMER CONCERN INDICATION BEEP NOT WORKING AND WORKSHOP OBSERVED SPEEDOMETER INTERNAL FAILURE,43473,4/22/2025,4/22/2025
FTIR-11306,44824,BALENO,Touch screen not working or not responding and touch screen automatically changing without any touching is due to the defect of sterio,28797,3/27/2025,3/27/2025
FTIR-11324,44271,ERTIGA,battery getting discharge intermittently is due to the compaint of MGUASSY,15823,3/6/2025,3/6/2025
