FTIR,Vehicle Registartion date ,Model,Subject (English),Mileage - Using Time,FTIR Report Date,Date of Incident
FTIR-12387,13-Dec-18,ERTIGA,Engine not starting and battery not getting charged due to defect in the MGU assy,29317,2/15/2025,2/15/2025
FTIR-12396,8-Aug-21,S-PRESSO,REVERSE PARK SENSOR NOT WORKING DUE TO FAULTY CONTROLLER ASSYPARK SNSR,20421,2/20/2025,2/20/2025
FTIR-12398,21-Dec-21,SWIFT,VEHICLE NOT STARTING CONTROLLER ASSY EPI,40222,2/11/2025,2/11/2025
FTIR-12420,44487,XL6,Vehicle not starting after parking for three days due to the defect of MGU unit,21751,3/3/2025,3/3/2025
FTIR-12427,31-May-22,ERTIGA,vehicle running time battery lamp continiously glowing and A stop lamp blinking in clushter due to defect of lithium ion battery,37418,4/10/2025,4/10/2025
FTIR-12433,12-Oct-22,ERTIGA,engine not starting and aoff light blinking,22141,3/4/2025,3/4/2025
FTIR-12450,31-Oct-24,JIMNY,engine not starting some time we have check wiring starter check found ok and then check battery defect in battery,2013,2/27/2025,2/27/2025
FTIR-12455,30-Jun-20,XL6,Touch screen not responding due to defective stereo,69740,3/26/2025,3/26/2025
FTIR-12470,30-Nov-22,XL6,Stereo touch screen not responding due to defective stereo assy,27878,2/13/2025,2/13/2025
FTIR-12486,31-May-22,BALENO,svs not working due to CONTROLLER ASSY CAMERA DEFECTIVE,59565,4/3/2025,4/3/2025
FTIR-12499,26-Feb-22,ERTIGA,vehicle not starting,7982,2/11/2025,2/11/2025
FTIR-12521,19-Dec-24,BREZZA,ENGINE NOT STARTING DUE TO LITHIUM ION BATTERY INTERNAL ISSUE,286,2/5/2025,2/5/2025
FTIR-12548,16-Feb-21,BALENO,SPEEDOMETER NOT WORKING POWER STEERING LIGHT ABS LIGHT HAND BRAKE LIGHT MIL WARNING LIGHT GLOWING STEERING HARD,83024,4/25/2025,4/25/2025
FTIR-12558,8-Jul-22,BALENO,Music system touch not responding and system hangs,31931,2/4/2025,2/4/2025
FTIR-12575,28-Feb-21,VITARA,Engine not starting and voltage drop found due to the defect of MGU assy,54880,4/19/2025,4/19/2025
FTIR-12596,25-May-22,BALENO,CAMERA NOT WORKING,7711,3/3/2025,3/3/2025
FTIR-12604,19-Dec-20,SWIFT,ACTUATOR ASSY ABS NOT WORKING,40634,4/5/2025,4/5/2025
FTIR-12630,28-Feb-21,XL6,ENGINE NOT STARTING DUE TO DEFECT OF MGU ASSY,28584,2/15/2025,2/15/2025
FTIR-12664,28-Dec-24,SWIFT,VEHICLE NOT STARTING DUE TO TATA GREEN BATTERY DEFECT,3764,3/20/2025,3/19/2025
FTIR-12667,30-Dec-21,XL6,ENGINE NOT STARTING,31948,3/15/2025,3/15/2025
FTIR-12689,15-Aug-23,SWIFT,A2N412-TUNER ASSY FAILURE-Bluetooth not working-MBHCZC63S00C56110-24K14962,5816,2/6/2025,11/22/2024
FTIR-12692,30-May-22,XL6,WARNING LIGHT GLOWING AND BLINKING AFTER INSPECTION DTC P1882 FOUND IN VEHICLE RELATED TO AUXILLARY POWER MODUAL SUBMERGED DURING INSPECTION WATER FOUND INSIDE THE CABIN VEHICLE WENT THROUGH WATER LOGGED AREA,22590,2/22/2025,2/22/2025
FTIR-12703,12-Oct-21,XL6,WHEN YOU APPLY THE BRAKE OR THE CLUTCH TO A SPEED OF 40 TO 50 WHILE DRIVING IT ILLUMINATES THE CAR BATTERY LIGHT RUNNING CONDITION MGU ASSY NG,36101,3/24/2025,3/24/2025
FTIR-12723,15-Jun-20,ERTIGA,Auto stop switch warning lamp glowing due to failure of Lithium ion battery,63296,3/18/2025,3/18/2025
FTIR-12725,22-Oct-24,GRAND,URBAN CRUISER HYRYDER [FGB329M] VEHICLE MOBILE WIRELESS CHARGER NOT WORKING DUE TO INTERNAL FAILURE.,7471,3/19/2025,2/16/2025
FTIR-12746,14-Nov-24,EECO,SIREON NOT WORKING AT ALL AFTER SWITCH ON ALL WIRING CONNECTIONS COUPLERS AND FUSES FOUND OK SUSPECTED SIREN INTERNAL CONTACT NOT PROPER,3644,3/1/2025,2/28/2025
FTIR-12778,21-Aug-24,WAGONR,VEHICLE NOT STARTING SOMETIME BATTERY CELL WEAK CHECK WITH TESTER REMARKS COMING TO REPLACE BATTERY SEND TO VENDOR EXIDE FOR FURTHER DIAGNOSIS,34990,3/24/2025,3/24/2025
FTIR-12779,4-Jul-24,BREZZA,VEHICLE WAS REPORTED FOR ENGINE NOT STARTING WHILE START THE VEHICLE DUE TO PACK BATTERY ASSY WAS DEFFECTIVE SO WE REPLACE THE PART,13340,2/3/2025,2/3/2025
FTIR-12785,31-Oct-19,ERTIGA,Vehicle not starting and battery getting discharged due to defective MGU assy,31604,2/26/2025,2/26/2025
FTIR-12802,31-Oct-23,BREZZA,engine not starting,24515,3/30/2025,3/20/2025
FTIR-12804,28-Dec-20,IGNIS,BCM NOT WORKING,49155,4/13/2025,4/13/2025
FTIR-12808,6-Mar-20,XL6,Vehicle received with the complaint of vehicle not starting intermediately and battery getting discharged due to defect of MGU assy,78789,2/19/2025,2/19/2025
FTIR-12810,31-Dec-24,SWIFT,Engine not starting Battery issue,3865,4/9/2025,4/9/2025
FTIR-12828,10-Nov-23,JIMNY,POOR PICKUP AND MIL ESP AND AUTOSTOP LIGHT BLINKING IN INSTRUMENT PANEL DUE TO ECM ASSY FAULTY,15214,4/10/2025,4/10/2025
FTIR-12831,27-Aug-21,S-PRESSO,ENGINE NOT STARTING BECAUSE BATTERY VOLT DROPPAGE is due to the defect of MGU ASSY,28546,4/28/2025,4/28/2025
FTIR-12833,15-Oct-23,SWIFT,ENGINE NOT STARTING,86111,2/27/2025,2/26/2025
FTIR-12869,18-Aug-23,BREZZA,engine not starting,34628,3/5/2025,3/5/2025
FTIR-12871,44814,BALENO,STEREO NOT WORKING DUE TO CLARION STEREO TOUCH NOT WORKING AND AUTOMATICALY OPERATE,22280,3/5/2025,3/5/2025
FTIR-12877,31-Dec-19,XL6,Battery getting discharged and vehicle not starting due to defective MGU ASSY,20972,4/20/2025,4/20/2025
FTIR-12886,30-Nov-23,CIAZ,VEHICLE NOT STARTING BATTERY,39158,2/1/2025,2/1/2025
FTIR-12899,30-Jun-21,XL6,Vehicle not starting after parking for three days due to the defect of MGU ASSY,24216,3/10/2025,3/10/2025
FTIR-12937,10-Mar-21,CIAZ,Customer reported for complaint of engine not starting it is due to the defect of MGU assy,21666,3/8/2025,3/8/2025
FTIR-12955,26-Sep-20,XL6,vehicle not starting and battery getting discharge due to the defect of MGU assy,37600,4/24/2025,4/24/2025
FTIR-13000,2-Dec-20,ERTIGA,BATTERY WARNING LIGHT AND A STOP LIGHT SOME TIME BLINKING MGU UNIT,53282,3/5/2025,3/5/2025
FTIR-13006,14-Jun-22,BALENO,360 CAMERA NOT WORKING DUE TO CONTROLLER ASSY DEFECTIVE,15411,3/25/2025,3/25/2025
FTIR-13025,26-Apr-23,BREZZA,VEHICLE NOT STARTING DUE TO EXIDE BATTERY FAULT,18843,4/17/2025,4/16/2025
FTIR-13038,13-Dec-21,VITARA,Speedometer mileage reading needle sticky and not working due to speedometer assy deffective,27927,3/8/2025,3/8/2025
FTIR-13050,15-Jun-23,ERTIGA,vehicle reported for Lock and unlock time Siren not working and while be are push the lock and unlock button together then only indicator lights are flashing but siren sound is not coming after replacing the BCM siren soun,38645,2/25/2025,2/25/2025
FTIR-13052,23-Feb-23,BALENO,"A3K415-CONTROLLER ASSY, CA FAILURE-CAMERA SYSTEM NOT WORKING-MBHHWBA3S00267113-25B15209",41238,3/30/2025,2/24/2025
FTIR-13057,14-Feb-19,ERTIGA,ENGINE NOT STARTING AND BATTERY GETTING DISCHARGE DUE TO DIFECTIVE OF MGU ASSY,56698,2/27/2025,2/27/2025
FTIR-13065,10-Jun-25,GRAND,VEHICLE REPORTED TO WORKSHOP TOWED ON PLATEFORM AS IT WAS NOT STARTING ON ANALYSIS WITH SDT2 DTC OBSERVED P1CC96 AND B115016 INVERTER ASSY HV MOTOR NOT WORKING ON APPROVAL OF HEADOFFICE IT WAS REPLACED IN 50 GOODWILL,175,4/20/2025,4/20/2025
FTIR-13073,44597,XL6,Vehicle not starting sub battery getting drained due to MGU internal failure,92225,2/17/2025,2/17/2025
FTIR-13076,,GRAND,[Followed-up01 FTR]URBAN CRUISER [FG21] - VEHICLE NOT STARTING DUE TO AUXILIARY BATTERY WEAK [AUXILARY BATTERY FAILURE] : 2024YE-TSB0010,19,3/19/2025,11/22/2024
FTIR-13083,5-Feb-25,Brezza,Unauthorized rewriting of Mitsubishi Electric engine controller,98,4/9/2025,4/9/2025
FTIR-13108,9-Jun-23,WAGONR,VEHICLE REPORTED TO WORKSHOP FOR CENTRAL LOCKING NOT WORKING WE HAVE CHECKED AND FOUND CENTRAL LOCKING NOT WORKING WITH BOTH KEY REMOTE BUT WORKING WITH MAIN POWER WINDOW SWITCH AND FOUND DTC B1158 SO THEN WE SWAP OK BCM I,22427,2/20/2025,2/20/2025
FTIR-13143,24-Feb-21,BALENO,POWER STEERING NOT WORKING SPEEDOMETER NOT WORKING ABS AND MIL WARNING LAMP GLOWINGABS ACTUATOR ASSY COMPLAINT,34499,3/28/2025,3/28/2025
FTIR-13156,22-Oct-20,BALENO,fog lamp not working due to controller assy body ELEC,60973,2/12/2025,2/12/2025
FTIR-13167,11-Oct-24,ERTIGA,VEHICLE NOT STARTING SOMETIME BATTERY CELL WEAK CHECK WITH TESTER REMARKS COMING TO REPLACE BATTERY SEND TO VENDOR EXIDE FOR FURTHER DIAGNOSIS,26714,2/17/2025,2/17/2025
FTIR-13174,5-Dec-24,SWIFT,CENTER LOCKING SYSTEM NOT WORKING DUE TO DEFECTIVE CONTROLLER ASSY BODY ELEC,3306,2/13/2025,2/13/2025
FTIR-13207,29-Mar-22,BALENO,camera not working,94573,3/23/2025,3/20/2025
FTIR-13234,11-Dec-19,ERTIGA,VEHICLE NOT STARTING,35986,2/16/2025,2/16/2025
FTIR-13250,30-Nov-23,GRAND,VEHICLE NOT STARTING SOMETIME BATTERY CELL WEAK CHECK WITH TESTER REMARKS COMING TO REPLACE BATTERY SEND TO VENDOR EXIDE FOR FURTHER DIAGNOSIS,19302,3/18/2025,3/18/2025
FTIR-13253,12-Dec-20,VITARA,Vehicle not starting after parking for three days due to the defect of MGU ASSY,35253,3/26/2025,3/26/2025
FTIR-13258,13-Dec-22,XL6,Vehicle repoted intermitted stop and warning light on MIL DTC U0101 LOST COMMUNICATION WITCH TCM,45866,4/17/2025,4/16/2025
FTIR-13275,30-Mar-21,VITARA,INDICATOR NOT WORKING DUE TO THE DEFECT OF CONTROLLER ASSY BODY ELEC,15400,2/7/2025,2/7/2025
FTIR-13296,31-Mar-23,EECO,VEHICLE NOT STARTING SOMETIME BATTERY CELL WEAK CHECK WITH TESTER REMARKS COMING TO REPLACE BATTERY SEND TO VENDOR AMARON FOR FURTHER DIAGNOSIS,33489,3/1/2025,3/1/2025
FTIR-13314,10-Feb-25,FRONX,Reverse alarm not working due to faulty Controller assembly Park sensor and DTC B185787 SDT Screen on current category,1787,4/28/2025,4/28/2025
FTIR-13322,25-Feb-20,XL6,Engine not starting and voltage drop due to the defect of MGU assy,64225,3/1/2025,3/1/2025
FTIR-13325,29-Jul-23,BALENO,abs warning lamp glowing and Parcking brake warning abs actuator assy is defective,10211,3/7/2025,3/7/2025
FTIR-13338,4-Nov-20,SWIFT,ABS WARING LIGHTS AND POWER STEERING NOT WORKING DUE TO FAULTI ABS ACTUATOR ASSY COMPLAINT,57060,4/8/2025,4/7/2025
FTIR-13359,14-Oct-24,GRAND,wireless charger not working,22874,4/17/2025,4/17/2025
FTIR-13367,6-Dec-21,S-PRESSO,Battery getting discharged and vehicle not starting due to a defective MGU ASSY,14472,2/26/2025,2/26/2025
FTIR-13371,10-Dec-24,GRAND,Wireless charger not working properly,2592,2/25/2025,2/25/2025
FTIR-13373,14-May-23,BALENO,SERVICE STEERING LOCK SYSTEM LIGHT GLOWING,37346,4/27/2025,4/27/2025
FTIR-13377,23-Oct-20,XL6,music system touch screen not working due to touch pad,33607,2/25/2025,2/25/2025
FTIR-13388,31-Dec-20,CIAZ,BATTERY GETTING DISCHARGED AND ENGINE NOT STARTING DUE TO DEFECTIVE MGU ASSY,13940,2/17/2025,2/17/2025
FTIR-13393,31-Jan-20,BALENO,ABS ESP warning lamps glowing and PS ABS VSS not working due to deffective actuator assy ABS,59243,2/1/2025,1/31/2025
FTIR-13394,20-Mar-20,ALTO,REVERSE ALARM NOT WORKING DUE TO DEFECT OF CONTROLLER ASSY PARK SNSR AND BOTH SENSOR ASSY PARK,28365,2/26/2025,2/26/2025
FTIR-13398,31-Jan-21,CIAZ,Vehicle not starting sub battery getting drained due to MGU internal failure,18664,3/28/2025,3/28/2025
FTIR-13399,18-Dec-21,ERTIGA,WARNING LIGHT SHOWING A STOP LIGHT BLINKING DUE TO INTERNAL FAILURE IN LI ION BATTERY,26384,3/28/2025,3/28/2025
FTIR-13400,44826,BALENO,REVERSE CAMERA AND 360 DEGREE CAMERA NOT WORKING,36252,3/6/2025,3/6/2025
FTIR-13404,6-Mar-23,ERTIGA,Vehicle MIL Light auto stop light glowing issue due to manufacture defective in Lithium ion battery,42023,4/4/2025,4/4/2025
FTIR-13406,19-Aug-23,BALENO,problem of indication of MIL and ABS glowing Hill hold and traction not working,13810,2/24/2025,2/24/2025
FTIR-13436,12-Feb-22,SWIFT,vehicle reported here with complaint of immobilizer warning lamp glowing checked wit sdt found DTC B1194 related to BCM,29871,2/18/2025,2/18/2025
FTIR-13437,30-Mar-21,ALTO,Reverse alarm not working while engaging gear to reverse due to defect of controller assy park sensor,12666,3/12/2025,3/12/2025
FTIR-13449,10-Dec-22,GRAND,MUSIC SYSTEM BLUETOOTH WIFI NOT WORKING,7107,4/28/2025,4/28/2025
FTIR-13453,28-Mar-22,SWIFT,controller assy body not working,52785,4/1/2025,4/1/2025
FTIR-13484,28-Aug-23,FRONX,VEHICLE NOT STARTING,41186,4/17/2025,4/17/2025
FTIR-13491,20-Aug-20,ERTIGA,Battery Getting Discharging and Engine not starting due to defective mgu assy,17411,2/22/2025,2/22/2025
FTIR-13512,44450,ALTO,Reverse alarm not working due to defective sensor assy park and controller assy park,32351,4/23/2025,4/23/2025
FTIR-13513,0,FRONX,Vehicle received from transporter in NG condition Engine is not starting and in Cluster meter no Light is on after inspection we found Lithium ion battery is defective and we are informed the RO after that battery is sent,4,4/2/2025,4/2/2025
FTIR-13521,12-Jul-19,ERTIGA,ENGINE NOT STARTING DUE TO DEFECT OF MGU ASSY,45612,2/27/2025,2/27/2025
FTIR-13523,29-Sep-22,BALENO,Vehicle Reported our workshop 360 camera not working issue After Workshop Diagnosing found that 360 Camera Modular Defective Already the swipe test is done So Replace the Camera Controler Assy UW,53163,3/30/2025,3/30/2025
FTIR-13532,31-Jan-25,CELERIO,Vehicle not starting,9,2/6/2025,2/6/2025
FTIR-13542,44496,VITARA,REVERSE ALARM NOT WORKING DUE TO FAULTY CONTROLLER ASSY PARKING,55359,2/27/2025,2/27/2025
FTIR-13550,24-Mar-21,VITARA,REVERSE PARK SENSOR NOT WORKING DUE TO FAULTY CONTROLLER ASSYPARK SNSR,41537,2/28/2025,2/28/2025
FTIR-13564,15-Feb-21,XL6,we observed auto off not working due to faulty MGU UNIT ASSY,37796,3/12/2025,3/12/2025
FTIR-13566,27-May-20,ERTIGA,Battery Getting Discharging and Engine not starting due to defective mgu assy,21631,4/17/2025,4/17/2025
FTIR-13587,18-Jun-20,ERTIGA,BATTERY GETTING DISCHARGED AND ENGINE NOT STARTING DUE TO DEFECTIVE MGU ASSY,34592,2/17/2025,2/17/2025
FTIR-13601,0,GRAND,VEHICLE CHECK AND FOUND AC NOT WORKING AFTER DIAGNOSE THE VEHICLE FOUND AC GAS NOT FOUND INCAR,7,4/12/2025,4/12/2025
FTIR-13611,13-Mar-19,CIAZ,Vehicle not starting after parking for three days due to the defect of MGU unit,25273,2/20/2025,2/20/2025
FTIR-13612,29-Jun-19,ERTIGA,BATTERY GETTING DISCHARGED AND ENGINE NOT STARTING DUE TO DEFECTIVE MGU ASSY,43640,4/8/2025,4/8/2025
FTIR-13633,31-Mar-22,S-PRESSO,Reverse camera not working dueto module mistake,33779,4/11/2025,4/11/2025
FTIR-13639,6-Dec-22,BALENO,regarding for steering lock set,48502,4/23/2025,4/23/2025
FTIR-13650,23-Jul-24,GRAND,Urban cruiser Hyryder (FGB3293) Not able to connect to audio system via bluetooth [Audio Logs Attached],1861,4/3/2025,10/17/2024
FTIR-13651,9-Jun-22,ERTIGA,AUTOSTOP NOT WORKING WITH A DTC CODE OF POA7D00 DUE TO LI BATTERY CHARGING NOT HAPPENING,61666,3/21/2025,3/21/2025
FTIR-13653,9-Feb-21,BALENO,Touch screen not responding or not working properly,23268,3/18/2025,3/18/2025
FTIR-13654,26-Sep-22,ALTO,Speed lock not working due to defective steering lock set,71864,4/10/2025,4/10/2025
FTIR-13666,31-Jan-25,CIAZ,ENGINE NOT STARTING BATTERY IS DEFECTIVE,1205,3/5/2025,3/5/2025
FTIR-13681,6-Oct-20,VITARA,Front Both Indicator Not Working After Engine Start BCM Need Replace,28575,4/21/2025,4/21/2025
FTIR-13684,10-Mar-20,BALENO,Warning light glowing and power steering not working is due to the defect of ACTUATOR ASSY ABS,24175,3/1/2025,3/1/2025
FTIR-13689,30-Mar-23,WAGONR,VEHICLE NOT STARTING SOMETIME BATTERY CELL WEAK CHECK WITH TESTER REMARKS COMING TO REPLACE BATTERY SEND TO VENDOR EXIDE FOR FURTHER DIAGNOSIS,17197,3/6/2025,3/6/2025
FTIR-13702,30-Dec-23,WAGONR,Engine not starting due to defective lead acid battery,29995,4/1/2025,4/1/2025
FTIR-13703,14-May-22,BALENO,reverse camera and 360 view camera not working due to the deffect of CONTROLLER ASSYCAMERA,97735,4/4/2025,4/4/2025
FTIR-13710,3-Jun-20,ERTIGA,VEHICLE NOT STARTING,20095,3/26/2025,3/26/2025
FTIR-13714,26-Jul-22,BALENO,360 DEGREE CAMERA NOT WORKING,22721,4/20/2025,4/10/2025
FTIR-13726,10-Apr-24,ERTIGA,AUTOSTOPLIGHTBLINKING FAULTY LITHIUM ION BATTERY,39096,4/9/2025,4/9/2025
FTIR-13747,4-Oct-24,FRONX,ENGINE NOT STARTING DUE TO BATTERY DEFECTIVE,8676,3/11/2025,3/11/2025
FTIR-13770,18-Sep-20,VITARA,Reverse alarm not working due to defective sensor assy park and controller assy park,49062,4/22/2025,4/22/2025
FTIR-13789,25-Oct-23,XL6,VEHICLE NOT STARTING SOMETIME BATTERY CELL WEAK CHECK WITH TESTER REMARKS COMING TO REPLACE BATTERY SEND TO VENDOR EXIDE FOR FURTHER DIAGNOSIS,18411,3/22/2025,3/22/2025
FTIR-13820,28-Mar-24,BREZZA,VEHICLE NOT STARTING DUE TO BATTERY ASSY GETTING DISCHARGED,38689,3/15/2025,3/15/2025
FTIR-13829,8-Feb-24,BREZZA,CONTROLLER ASSY PAKING NOT WORKING,8699,4/25/2025,4/25/2025
FTIR-13834,17-Feb-22,XL6,Vehicle not starting after parking for three days due to the defect of MGU unit,11029,2/17/2025,2/17/2025
FTIR-13842,18-May-24,ERTIGA,VEHICLE NOT STARTING SOMETIME BATTERY CELL WEAK CHECK WITH TESTER REMARKS COMING TO REPLACE BATTERY SEND TO VENDOR EXIDE FOR FURTHER DIAGNOSIS,34649,3/6/2025,3/6/2025
FTIR-13844,23-Mar-21,VITARA,INDICATOR NOT WORKING DUE TO THE DEFECT OF CONTROLLER ASSY BODY ELEC,27995,3/19/2025,3/19/2025
FTIR-13849,17-Jun-19,ERTIGA,ENGINE NOT STARTING BATTERY GETTING DISCHARGED DUE TO MGU ASSY DEFECTIVE,16676,3/4/2025,3/4/2025
FTIR-13851,45124,INVICTO,Engine not starting due to lead acid battery weak,31385,2/12/2025,2/12/2025
FTIR-13861,44251,XL6,Customer found vehicle not starting and the battery gets discharged due to defective MGU assy,46955,3/18/2025,3/17/2025
FTIR-13864,28-Apr-22,SWIFT,ACCELARATE PEDAL NOT WORKING DUE TO ECM DEFECT,24505,3/27/2025,3/26/2025
FTIR-13877,30-May-24,BALENO,TOYOTA GLANZA (K12N24R) VEHICLE NOT STARTING & 3rd CYLINDER INJECTOR LEAKAGE DUE TO FAILURE OF ECM,2817,2/10/2025,9/3/2024
FTIR-13900,11-Dec-20,BALENO,Defective ACTUATOR ASYABS occurring ABS LIGHT POWER STEERING AND HAND BRAKE LIGHT GLOWING abnormaly,3789,3/16/2025,3/16/2025
FTIR-13901,27-Dec-18,CIAZ,Vehicle not starting after parking for three days due to the defect of MGU unit,21215,3/26/2025,3/26/2025
FTIR-13914,21-Nov-23,GRAND,VEHICLE NOT STARTING,27210,4/17/2025,4/17/2025
FTIR-13940,31-Oct-22,BALENO,360 degree camera not working,16685,2/18/2025,2/18/2025
FTIR-13952,22-Nov-24,SWIFT,WIRELESS CHARGER NOT WORKING,5875,3/7/2025,3/7/2025
FTIR-13960,44218,XL6,battery getting discharge intermittently is due to the compaint of MGUASSY,51789,3/19/2025,3/19/2025
FTIR-13984,21-Apr-21,BALENO,VEHICLE REPORTED HERE WITH COMPLAINT OF POWER STEERING NOT WORKING AND WARNING LAMP GLOWING DUE TO DEFECT OF ACTUATOR ASSY ABS,28268,4/12/2025,4/12/2025
FTIR-13989,8-Aug-21,Brezza,Spacia (YD1) Microcontroller Vulnerability,8893,3/8/2025,3/8/2025
FTIR-13991,15-Jul-20,XL6,engine not starting mgu assy,24215,3/15/2025,3/10/2025
FTIR-14003,11-Dec-23,INVICTO,ENGINE NOT STARTING SOME TIME AND ALSO BATTERY GETTING DISCHARGE DUE TO DEFECTIVE BATTERY,5490,3/6/2025,3/6/2025
FTIR-14004,30-Sep-20,BALENO,Vehicle reported here with complaint of sometime brake not effective and same time ABS mal function lamp glowing due to the defect of Actuator assy ABS,12589,2/7/2025,2/6/2025
FTIR-14018,22-Dec-20,SWIFT,POWER STEERING NOT WORKING SPEEDOMETER NOT WORKING ABS AND MIL WARNING LAMP GLOWINGABS ACTUATOR ASSY COMPLAINT,16654,3/28/2025,3/28/2025
FTIR-14030,24-Jun-24,WAGONR,VEHICLE REPORTED TO WORKSHOP FOR ENGINE NOT STARTING CONCERN DUE TO PROBLEM,24674,4/19/2025,4/19/2025
FTIR-14040,9-Jun-22,ERTIGA,AUTOSTOP NOT WORKING WITH A DTC CODE OF DUE TO LI BATTERY CHARGING NOT HAPPENING,59510,2/22/2025,2/22/2025
FTIR-14063,25-Oct-20,SWIFT,VEHICLE REPORTED IN WORKSHOP FOR COMPLAIN ABS WARNING LIGHT GLOWING ALONG WITH ABS LIGHT BRAKE LIGHT MIL LIGHT WAS ALSO GLOWING KEY WARNING LIGHT WAS ALSO BLINKING WE DIAGNOSIS AND FOUND THAT ACTUATOR ASSY ABS IS DEFECTIVE,29025,2/22/2025,2/22/2025
FTIR-14068,18-Sep-21,ERTIGA,Vehicle not starting and Excessive current leakage because of defective MGU assy,20553,4/5/2025,4/5/2025
FTIR-14076,28-Aug-20,ERTIGA,ENGINE NOT STARTING DUE TO BATTERY GETTING DISCHARGED,16539,3/29/2025,3/29/2025
FTIR-14085,29-Sep-22,BREZZA,Smart Hybrid function not working A OFF light blinking Lithium ion battery defective,31952,4/28/2025,4/28/2025
FTIR-14091,11-Nov-22,GRAND,SUZUKI CONNECT APP NOT WORKING PROPERLY AS WHILE SCANNING VEHICLE HEALTH IT'S SHOWING ERROR IN POWER TRAIN SYSTEM BUT AFTER CONNECTING SDT NO ANY DTC AVILABLE IN CURRENT CONDITION RELATED TO POWER TRAIN,30775,2/3/2025,2/3/2025
FTIR-14101,0,SWIFT,Observed Vehicle not starting by push button strat,10,2/11/2025,2/11/2025
FTIR-14123,18-Nov-23,BREZZA,remote locking not working some times due to defective controller assyshock,6752,4/18/2025,4/18/2025
FTIR-14126,26-Apr-24,ERTIGA,Engine not Starting Not Cranking due to Auxiliary Module defective,47016,3/8/2025,3/8/2025
FTIR-14129,30-Apr-24,SWIFT,ENGINE NOT STARTING,39350,3/30/2025,3/24/2025
FTIR-14144,27-Dec-24,SWIFT,Door Request Switch and Trunk opener switch are Not Working Cause of BCM Assy Defective,1984,2/25/2025,2/25/2025
FTIR-14153,31-Jul-21,IGNIS,ENGINE NOT STARTING,38750,2/14/2025,2/14/2025
FTIR-14176,16-Mar-21,ALTO,CONTROLLER ASSY PARK SENSOR NOT WORKING,39982,4/21/2025,4/21/2025
FTIR-14196,31-May-19,CIAZ,customer reported in workshop with auto off not working due to defective lithium ion battery,35569,3/18/2025,3/18/2025
FTIR-14197,31-May-19,CIAZ,customer reported in workshop with auto off not working due to defective lithium ion battery,35569,3/18/2025,3/18/2025
FTIR-14198,22-Jun-20,ERTIGA,Battery Getting Discharging and Engine not starting due to defective mgu assy,14986,2/27/2025,2/27/2025
FTIR-14205,43810,XL6,Vehicle not starting sub battery getting drained due to MGU internal failure,13036,3/27/2025,3/27/2025
FTIR-14246,8-May-23,SWIFT,WE CHECKED AND FOUND ENGINE NOT STARTING DUE TO AMARON BATTERY INTERNAL DEFECT,32099,4/12/2025,4/12/2025
FTIR-14252,2-Nov-20,ERTIGA,ABS WARING LIGHT AND POWER STEERING AND EBD AND HANBBRAKE MIL LIGHT BLINKING IN SPEEDOMETER CHECK FOUND ABS MODULE ASSY FAULTY AND DEFECTIVE,91027,3/27/2025,3/27/2025
FTIR-14288,4-May-22,XL6,back camera and 360 degree not working while vehicle reverse time we check and found camera controller assy defective,36625,3/16/2025,3/16/2025
FTIR-14296,27-Apr-23,BALENO,PARK SENSOR CONTROLLER ASSY NOT WORKING,36499,3/10/2025,3/10/2025
FTIR-14297,13-Oct-21,ERTIGA,Engine not starting and voltage drop due to the defect of MGU assy,33822,3/14/2025,3/14/2025
FTIR-14298,10-Dec-24,CIAZ,A STOP LIGHT COMING CAUSE OF DEFECTIVE ECM,321,2/3/2025,2/3/2025
FTIR-14302,29-Nov-22,BALENO,VEHICLE REPORTED WITH STEREO NOT WORKING PROPERLYTOUCH SCREEN NOT RESPONDING OF CLARION STEREO AND DEFECTIVE PART WAS STEREO ASSY,6184,2/3/2025,2/3/2025
FTIR-14314,17-Dec-20,SWIFT,WARNING LAMP GLOWING STEERING HARD AND SPEEDOMETER NOT WORKING DUE TO ABS CONTROL MODULE INTERNAL FAILURE,59709,2/13/2025,2/13/2025
FTIR-14321,31-Aug-22,BALENO,"A3K415-CONTROLLER ASSY, CA FAILURE-CAMERAS NOT WORKING-MBHHWBA3S00187968-25B16303",30987,3/30/2025,2/25/2025
FTIR-14322,13-Feb-25,BALENO,UNABLE TO LOGIN ON SUZUKI CONNECT APPLICATION,400,3/4/2025,3/4/2025
FTIR-14339,28-Apr-22,BALENO,360 DEGREE CAMERA NOT WORKING DUE TO CONTROLLER ASSEMBLY CAMERA INTERNAL FAILURE,37157,3/27/2025,3/27/2025
FTIR-14360,27-Aug-20,XL6,media devices as per SystemAudio system Not Working,44113,4/19/2025,4/19/2025
FTIR-14376,15-May-24,INVICTO,Engine not starting with one key fob remote and engine vibrating steering wheel vibrating transmitter s assy smart key not detected in odo meter due to transmitter smart key and rhs engine mounting deective,12956,2/14/2025,2/14/2025
FTIR-14393,27-Oct-20,SWIFT,POWER STEERING NOT WORKING SPEEDOMETER NOT WORKING ABS AND MIL WARNING LAMP GLOWINGABS ACTUATOR ASSY COMPLAINT,66782,4/12/2025,4/12/2025
FTIR-14417,31-Jan-24,ERTIGA,ENGINE NOT STARTING,48465,3/9/2025,3/9/2025
